,종목
0,삼성전자우
2,현대차우
3,현대차3우B
4,현대차2우B
5,삼성SDI우
6,삼성물산우B
7,LG전자우
8,LG생활건강우
9,SK이노우
10, SK우
11,LG우
12,삼성전기우
13,아모레퍼시픽우
14,S-Oil우
15,삼성화재 우선주
16,대한항공우
17,CJ제일우
18,한화케미칼우
19,금호석유우
20,미래에셋대우2우b
21,미래에셋우
22,현대건설우
23,한국금융우
24,아모레G우
25,유한양행우
26,삼성중공우
28,호텔신라우
29,쌍용양회우
30,신풍우
31,두산퓨얼셀1우
33,CJ우
34,SK케미칼우
36,DB하이텍1우
37,한화우
38,하이트진로2우
39,코오롱인더우
40,솔루스첨단소재1우
41,솔루스첨단소재2우B
42,두산우
43,두산2우B
45,KG동부제철우
46,SK네트웍스우
47,녹십자홀딩스2우
48,대신증권우
49,대신증권2우B
2,신영증권우
3,한화투자증권우
4,SK디스커버리우
5,대상우
7,유안타우
8,넥센타이어1우B
10,삼양사우
11,일양약품우
15,태영건설우
16,SK증권우
17,동양우
18,동양2우B
19,남양유업우
20,남선알미우
21,대교우B
22,금호산업우
23,대상홀딩스우
24,코오롱우
25,덕성우
26,진흥기업2우B
27,진흥기업우B
29,현대비앤지스틸우
30,동부건설우
31,부국증권우
32,대한제당우
33,성신양회우
36,넥센우
37,흥국화재2우B
38,흥국화재우
39,금강공업우
40,노루페인트우
41,깨끗한나라우
43,한양증권우
45,노루홀딩스우
46,유유제약1우
47,유유제약2우B
48,대원전선우
49,신원우
0,크라운해태우
3,크라운제과우
4,서울식품우
5,태양금속우
6,성문전자우
9,LX홀딩스1우
10,동양3우B
